date,ticker,value,prev_year_value,log_return,month_start,country,rate_date,interest_rate,interest_rate_switzerland,interest_rate_log_diff
2005-06-01,SEKCHF,0.1668000072240829,0.1670999974012375,-0.0017968868147135034,2005-06-01,Sweden,2005-06-01,1.5,0.631008,-0.008598357693198316
2005-06-01,USDCHF,1.2558000087738037,1.2462999820709229,0.007593679220146862,2005-06-01,United States,2005-06-01,3.04,0.631008,-0.023656821567399858
2005-07-01,AUDCHF,0.9735999703407288,0.8819000124931335,0.09892182614951742,2005-07-01,Australia,2005-07-01,5.5,0.678098,-0.046782674364998
2005-07-01,CADCHF,1.0437999963760376,0.9372000098228456,0.10772645862272304,2005-07-01,Canada,2005-07-01,2.4922,0.678098,-0.017858419570797947
2005-07-01,EURCHF,1.5497000217437744,1.5182000398635864,0.020535928984441176,2005-07-01,Germany,2005-07-01,2.0729,0.678098,-0.013758985334878224
2005-07-01,GBPCHF,2.292799949645996,2.2734999656677246,0.00845327694811367,2005-07-01,United Kingdom,,,,
2005-07-01,JPYCHF,0.0116020003333687,0.0115069998428225,0.008221993595572165,2005-07-01,Japan,2005-07-01,0.001,0.678098,0.006748092613031361
2005-07-01,NOKCHF,0.1967500001192093,0.1792699992656707,0.09304084273287735,2005-07-01,Norway,2005-07-01,2.29,0.678098,-0.015883637917792813
2005-07-01,NZDCHF,0.8899499773979187,0.8005499839782715,0.10586628454107605,2005-07-01,New Zealand,2005-07-01,6.75,0.678098,-0.0585613735576107
2005-07-01,SEKCHF,0.163100004196167,0.1650999933481216,-0.012187775281545264,2005-07-01,Sweden,2005-07-01,1.5,0.678098,-0.0081305199307188
2005-07-01,USDCHF,1.29639995098114,1.2489999532699585,0.03724796074425464,2005-07-01,United States,2005-07-01,3.26,0.678098,-0.025321800900379887
2005-09-01,AUDCHF,0.9409999847412108,0.8855999708175659,0.060677774927610284,2005-09-01,Australia,2005-09-01,5.5,0.674366,-0.0468197436903621
2005-09-01,CADCHF,1.0432000160217283,0.963699996471405,0.07926816733490619,2005-09-01,Canada,2005-09-01,2.7421,0.674366,-0.020330755549963324
2005-09-01,EURCHF,1.5424000024795532,1.5362000465393066,0.004027781604211221,2005-09-01,Germany,2005-09-01,2.0941,0.674366,-0.014003727791318383
2005-09-01,GBPCHF,2.262700080871582,2.2599000930786133,0.0012382205116601291,2005-09-01,United Kingdom,,,,
2005-09-01,JPYCHF,0.0112269995734095,0.0115139996632933,-0.025242103530570575,2005-09-01,Japan,2005-09-01,0.001,0.674366,0.006711023287667265
2005-09-01,NOKCHF,0.1967599987983703,0.1836600005626678,0.0688984805710415,2005-09-01,Norway,2005-09-01,2.31,0.674366,-0.016116210665089465
2005-09-01,NZDCHF,0.8702999949455261,0.8248999714851379,0.053575841688704454,2005-09-01,New Zealand,2005-09-01,6.75,0.674366,-0.0585984428829748
2005-09-01,SEKCHF,0.1650000065565109,0.1676999926567077,-0.016231111403886243,2005-09-01,Sweden,2005-09-01,1.5,0.674366,-0.008167589256082894
2005-09-01,USDCHF,1.2347999811172483,1.260200023651123,-0.020361458939858332,2005-09-01,United States,2005-09-01,3.62,0.674366,-0.028839152160883216
2005-11-01,AUDCHF,0.9562000036239624,0.896399974822998,0.06458038614198804,2005-11-01,Australia,2005-11-01,5.5,0.68404,-0.04672365631859926
2005-11-01,CADCHF,1.0932999849319458,0.9829000234603882,0.10644850121713834,2005-11-01,Canada,2005-11-01,2.9883,0.68404,-0.022628092947017984
2005-11-01,EURCHF,1.5473999977111816,1.5317000150680542,0.010197862128236796,2005-11-01,Germany,2005-11-01,2.0859,0.68404,-0.013827319134371664
2005-11-01,GBPCHF,2.2709999084472656,2.203200101852417,0.0303093275880161,2005-11-01,United Kingdom,,,,
2005-11-01,JPYCHF,0.0110109997913241,0.011285999789834,-0.024668246745246616,2005-11-01,Japan,2005-11-01,0.001,0.68404,0.006807110659430102
2005-11-01,NOKCHF,0.1983100026845932,0.1874399930238723,0.0563727194534797,2005-11-01,Norway,2005-11-01,2.62,0.68404,-0.01904554891629687
2005-11-01,NZDCHF,0.8960000276565552,0.8205699920654297,0.08794123278704866,2005-11-01,New Zealand,2005-11-01,7.0,0.68404,-0.060841537864384364
2005-11-01,SEKCHF,0.1606999933719635,0.1686999946832656,-0.04858272653732601,2005-11-01,Sweden,2005-11-01,1.5,0.68404,-0.008071501884320058
2005-11-01,USDCHF,1.2871999740600586,1.202299952507019,0.06823294704686005,2005-11-01,United States,2005-11-01,4.0,0.68404,-0.03240360254385083
2005-12-01,AUDCHF,0.9769999980926514,0.8870599865913391,0.09657404144157845,2005-12-01,Australia,2005-12-01,5.5,0.609864,-0.04746064836737415
2005-12-01,CADCHF,1.1303000450134275,0.9628000259399414,0.16039267016989595,2005-12-01,Canada,2005-12-01,3.2437,0.609864,-0.0258419084816329
2005-12-01,EURCHF,1.5463000535964966,1.5214999914169312,0.016168330446671608,2005-12-01,Germany,2005-12-01,2.2757,0.609864,-0.016421803535642206
2005-12-01,GBPCHF,2.282599925994873,2.204200029373169,0.03495046711464052,2005-12-01,United Kingdom,,,,
2005-12-01,JPYCHF,0.0109289996325969,0.0111149996519088,-0.016875743021642572,2005-12-01,Japan,2005-12-01,0.001,0.609864,0.0060701186106552054
2005-12-01,NOKCHF,0.1946700066328048,0.1859499961137771,0.04582805190144075,2005-12-01,Norway,2005-12-01,2.63,0.609864,-0.01987998310887602
2005-12-01,NZDCHF,0.9286999702453612,0.8193100094795227,0.125323192558214,2005-12-01,New Zealand,2005-12-01,7.19,0.609864,-0.06335265615468122
2005-12-01,SEKCHF,0.1622000038623809,0.1691000014543533,-0.041660099011314816,2005-12-01,Sweden,2005-12-01,1.5,0.609864,-0.008808493933094954
2005-12-01,USDCHF,1.3170000314712524,1.1404999494552612,0.14388972823305887,2005-12-01,United States,2005-12-01,4.16,0.609864,-0.034677873911512225
2006-02-01,AUDCHF,0.9700000286102296,0.9217000007629396,0.051076309165139014,2006-02-01,Australia,2006-02-01,5.5,0.895374,-0.044626873981218146
2006-02-01,CADCHF,1.128499984741211,0.9661999940872192,0.15527373673560624,2006-02-01,Canada,2006-02-01,3.4765,0.895374,-0.025260454849957453
2006-02-01,EURCHF,1.5542999505996704,1.553699970245361,0.0003860877587145877,2006-02-01,Germany,2006-02-01,2.3495,0.895374,-0.014309347962612467
2006-02-01,GBPCHF,2.2864999771118164,2.242799997329712,0.019297170029057658,2006-02-01,United Kingdom,,,,
2006-02-01,JPYCHF,0.0109139997512102,0.011481000110507,-0.050647158768315326,2006-02-01,Japan,2006-02-01,0.001,0.895374,0.008903892996811213
2006-02-01,NOKCHF,0.1922100037336349,0.1872999966144561,0.02587695236928102,2006-02-01,Norway,2006-02-01,2.53,0.895374,-0.01607135974709699
2006-02-01,NZDCHF,0.8824999928474426,0.8478400111198425,0.040066828842622554,2006-02-01,New Zealand,2006-02-01,7.25,0.895374,-0.06107847887322338
2006-02-01,SEKCHF,0.1674000024795532,0.1703999936580658,-0.017762404309770365,2006-02-01,Sweden,2006-02-01,1.75,0.895374,-0.00843474538780146
2006-02-01,USDCHF,1.28849995136261,1.1907000541687012,0.0789372983948392,2006-02-01,United States,2006-02-01,4.49,0.895374,-0.03500729411111647
2006-03-01,AUDCHF,0.9771000146865844,0.9161999821662904,0.06435435399331052,2006-03-01,Australia,2006-03-01,5.5,1.05294,-0.0430664149820586
2006-03-01,CADCHF,1.1557999849319458,0.9399999976158142,0.2066681381190914,2006-03-01,Canada,2006-03-01,3.7269,1.05294,-0.02611694578401034
2006-03-01,EURCHF,1.5647000074386597,1.5370999574661257,0.01779662050268153,2006-03-01,Germany,2006-03-01,2.52,1.05294,-0.01441336356180772
2006-03-01,GBPCHF,2.296999931335449,2.238899946212769,0.025619244014457303,2006-03-01,United Kingdom,,,,
2006-03-01,JPYCHF,0.0113009996712207,0.0111640002578496,0.012196849514474651,2006-03-01,Japan,2006-03-01,0.002,1.05294,0.010454352145968586
2006-03-01,NOKCHF,0.1948300004005432,0.1870799958705902,0.04059107472893292,2006-03-01,Norway,2006-03-01,2.65,1.05294,-0.015680605530880017
2006-03-01,NZDCHF,0.8723999857902527,0.8464199900627136,0.03023233946527064,2006-03-01,New Zealand,2006-03-01,7.25,1.05294,-0.059518019874063834
2006-03-01,SEKCHF,0.1650000065565109,0.1692000031471252,-0.025135952135143913,2006-03-01,Sweden,2006-03-01,2.0,1.05294,-0.009328275350208567
2006-03-01,USDCHF,1.312800049781799,1.1670000553131104,0.1177258980119525,2006-03-01,United States,2006-03-01,4.59,1.05294,-0.03440340683211434
2006-06-01,AUDCHF,0.9114999771118164,0.9407200217247008,-0.03155399360059692,2006-06-01,Australia,2006-06-01,5.75,1.242492,-0.04355926777563477
2006-06-01,CADCHF,1.1059000492095947,1.0056999921798706,0.09497571890401359,2006-06-01,Canada,2006-06-01,4.2455,1.242492,-0.029230144128876555
2006-06-01,EURCHF,1.5631999969482422,1.5318000316619873,0.0202914651909831,2006-06-01,Germany,2006-06-01,2.6977,1.242492,-0.014271171206788034
2006-06-01,GBPCHF,2.277100086212158,2.272700071334839,0.0019341580274524063,2006-06-01,United Kingdom,,,,
2006-06-01,JPYCHF,0.0108420001342892,0.0115470001474022,-0.06299818251096584,2006-06-01,Japan,2006-06-01,0.036,1.242492,0.011988428947113598
2006-06-01,NOKCHF,0.2004799991846084,0.1935299932956695,0.03528198251063403,2006-06-01,Norway,2006-06-01,3.15,1.242492,-0.018665689366508226
2006-06-01,NZDCHF,0.7720000147819519,0.8750399947166443,-0.12528502438823572,2006-06-01,New Zealand,2006-06-01,7.25,1.242492,-0.05764400765737368
2006-06-01,SEKCHF,0.168500006198883,0.1668000072240829,0.010140253346543998,2006-06-01,Sweden,2006-06-01,2.25,1.242492,-0.009902244772158408
2006-06-01,USDCHF,1.2201999425888062,1.2558000087738037,-0.028758093999525426,2006-06-01,United States,2006-06-01,4.99,1.242492,-0.03634655737609729
2006-08-01,CADCHF,1.0841000080108645,1.054800033569336,0.027398949752220524,2006-08-01,Canada,2006-08-01,4.2427,1.370228,-0.027942395668373515
2006-08-01,EURCHF,1.5722999572753906,1.557600021362305,0.009393299530036097,2006-08-01,Germany,2006-08-01,2.9683,1.370228,-0.01564173529143617
2006-08-01,GBPCHF,2.300600051879883,2.260499954223633,0.017583973528387555,2006-08-01,United Kingdom,,,,
2006-08-01,JPYCHF,0.0106969997286796,0.011384000070393,-0.06224556401121916,2006-08-01,Japan,2006-08-01,0.25,1.370228,0.011112372391250045
2006-08-01,NZDCHF,0.7603999972343445,0.8733000159263611,-0.13843455067950647,2006-08-01,New Zealand,2006-08-01,7.25,1.370228,-0.0563831192301978
2006-08-01,SEKCHF,0.1702000051736831,0.1653999984264373,0.02860747346103076,2006-08-01,Sweden,2006-08-01,2.25,1.370228,-0.008641356344982531
2006-08-01,USDCHF,1.2265000343322754,1.278499960899353,-0.04152287245740581,2006-08-01,United States,2006-08-01,5.25,1.370228,-0.03755903398456223
2006-09-01,AUDCHF,0.9433199763298036,0.9409999847412108,0.0024624191313538366,2006-09-01,Australia,2006-09-01,6.0,1.682963,-0.041579327214845085
2006-09-01,CADCHF,1.1136000156402588,1.0432000160217283,0.06530509709428757,2006-09-01,Canada,2006-09-01,4.2465,1.682963,-0.02489852007661136
2006-09-01,EURCHF,1.5791000127792358,1.5424000024795532,0.023515426101455843,2006-09-01,Germany,2006-09-01,3.0410000000000004,1.682963,-0.013267200380672622
2006-09-01,GBPCHF,2.343899965286255,2.262700080871582,0.03525736766209064,2006-09-01,United Kingdom,,,,
2006-09-01,JPYCHF,0.0104980003088712,0.0112269995734095,-0.06713676122778722,2006-09-01,Japan,2006-09-01,0.261,1.682963,0.01408298104418074
2006-09-01,NOKCHF,0.1939599961042404,0.1967599987983703,-0.01433277366828087,2006-09-01,Norway,2006-09-01,3.32,1.682963,-0.01597120133041754
2006-09-01,NZDCHF,0.8054699897766113,0.8702999949455261,-0.07741202870458433,2006-09-01,New Zealand,2006-09-01,7.25,1.682963,-0.05330279091090426
2006-09-01,SEKCHF,0.168500006198883,0.1650000065565109,0.020990272944029296,2006-09-01,Sweden,2006-09-01,2.5,1.682963,-0.00800303168124068
2006-09-01,USDCHF,1.2299000024795532,1.2347999811172483,-0.003976131071424583,2006-09-01,United States,2006-09-01,5.25,1.682963,-0.034478705665268686
2006-11-01,AUDCHF,0.963599979877472,0.9562000036239624,0.007709149876093739,2006-11-01,Australia,2006-11-01,6.19,1.768215,-0.04253211691569942
2006-11-01,CADCHF,1.0994999408721924,1.0932999849319458,0.005654845559555984,2006-11-01,Canada,2006-11-01,4.2476,1.768215,-0.024071013331121452
2006-11-01,EURCHF,1.5887000560760498,1.5473999977111816,0.02634000538657615,2006-11-01,Germany,2006-11-01,3.3277,1.768215,-0.015207665695936984
2006-11-01,GBPCHF,2.375200033187866,2.2709999084472656,0.0448614356304956,2006-11-01,United Kingdom,,,,
2006-11-01,JPYCHF,0.0106149995699524,0.0110109997913241,-0.036626699537848896,2006-11-01,Japan,2006-11-01,0.257,1.768215,0.014960936314649629
2006-11-01,NOKCHF,0.1921299993991851,0.1983100026845932,-0.031659253318611975,2006-11-01,Norway,2006-11-01,3.62,1.768215,-0.018032535886587424
2006-11-01,NZDCHF,0.8377000093460083,0.8960000276565552,-0.06728039152510865,2006-11-01,New Zealand,2006-11-01,7.45,1.768215,-0.05432779758846465
2006-11-01,SEKCHF,0.1720999926328659,0.1606999933719635,0.06853642891152188,2006-11-01,Sweden,2006-11-01,2.75,1.768215,-0.00960102787628924
2006-11-01,USDCHF,1.245300054550171,1.2871999740600586,-0.03309278799400559,2006-11-01,United States,2006-11-01,5.25,1.768215,-0.03364064706243597
2006-12-01,AUDCHF,0.9434999823570251,0.9769999980926514,-0.034890303981423995,2006-12-01,Australia,2006-12-01,6.25,1.897995,-0.0418225439225163
2006-12-01,CADCHF,1.041100025177002,1.1303000450134275,-0.08220525335721905,2006-12-01,Canada,2006-12-01,4.2482,1.897995,-0.022802330460788157
2006-12-01,EURCHF,1.5914000272750854,1.5463000535964966,0.028749133939976614,2006-12-01,Germany,2006-12-01,3.5011,1.897995,-0.015609976786260447
2006-12-01,GBPCHF,2.363600015640259,2.282599925994873,0.03487077539057194,2006-12-01,United Kingdom,,,,
2006-12-01,JPYCHF,0.0103449998423457,0.0109289996325969,-0.05491647711942525,2006-12-01,Japan,2006-12-01,0.255,1.897995,0.01625532362734259
2006-12-01,NOKCHF,0.1949300020933151,0.1946700066328048,0.001334679123627636,2006-12-01,Norway,2006-12-01,3.78,1.897995,-0.018301010057583725
2006-12-01,NZDCHF,0.8206400275230408,0.9286999702453612,-0.12370116956347588,2006-12-01,New Zealand,2006-12-01,7.51,1.897995,-0.05361160261512672
2006-12-01,SEKCHF,0.1757999956607818,0.1622000038623809,0.08051679507460745,2006-12-01,Sweden,2006-12-01,3.0,1.897995,-0.010756724347625896
2006-12-01,USDCHF,1.1931999921798706,1.3170000314712524,-0.0987176795527681,2006-12-01,United States,2006-12-01,5.24,1.897995,-0.03227119229008209
2007-02-01,AUDCHF,0.9623000025749208,0.9700000286102296,-0.007969845954356609,2007-02-01,Australia,2007-02-01,6.25,1.835111,-0.04243986138487314
2007-02-01,CADCHF,1.0546000003814695,1.128499984741211,-0.06772775527819946,2007-02-01,Canada,2007-02-01,4.2504,1.835111,-0.023440751182352497
2007-02-01,EURCHF,1.6191999912261963,1.5542999505996704,0.04090694296869878,2007-02-01,Germany,2007-02-01,3.5695,1.835111,-0.016887938516686074
2007-02-01,GBPCHF,2.4463000297546387,2.2864999771118164,0.067554437024687,2007-02-01,United Kingdom,,,,
2007-02-01,JPYCHF,0.0102859996259212,0.0109139997512102,-0.05926263498360446,2007-02-01,Japan,2007-02-01,0.357,1.835111,0.01462111775562311
2007-02-01,NOKCHF,0.198850005865097,0.1922100037336349,0.033962257404971954,2007-02-01,Norway,2007-02-01,4.13,1.835111,-0.02228517212215142
2007-02-01,NZDCHF,0.8487300276756287,0.8824999928474426,-0.039017633563819994,2007-02-01,New Zealand,2007-02-01,7.41,1.835111,-0.05329834119030262
2007-02-01,SEKCHF,0.1782000064849853,0.1674000024795532,0.06252037856079996,2007-02-01,Sweden,2007-02-01,3.25,1.835111,-0.013798285421489045
2007-02-01,USDCHF,1.243899941444397,1.28849995136261,-0.03522715520341044,2007-02-01,United States,2007-02-01,5.26,1.835111,-0.033078533505979814
2007-03-01,AUDCHF,0.9603999853134156,0.9771000146865844,-0.017239166926142396,2007-03-01,Australia,2007-03-01,6.25,1.979335,-0.04102461308522588
2007-03-01,CADCHF,1.0434000492095947,1.1557999849319458,-0.10230807309574967,2007-03-01,Canada,2007-03-01,4.2432,1.979335,-0.021956436014438113
2007-03-01,EURCHF,1.611850023269653,1.5647000074386597,0.029688485002328197,2007-03-01,Germany,2007-03-01,3.6909,1.979335,-0.016644163531609364
2007-03-01,GBPCHF,2.395699977874756,2.296999931335449,0.04207156068359076,2007-03-01,United Kingdom,,,,
2007-03-01,JPYCHF,0.0103860003873705,0.0113009996712207,-0.0844324055655767,2007-03-01,Japan,2007-03-01,0.509,1.979335,0.014522918990926236
2007-03-01,NOKCHF,0.1985500007867813,0.1948300004005432,0.018913576026240213,2007-03-01,Norway,2007-03-01,4.27,1.979335,-0.022213494082201392
2007-03-01,NZDCHF,0.848800003528595,0.8723999857902527,-0.027424426582433242,2007-03-01,New Zealand,2007-03-01,7.59,1.979335,-0.05355751188651754
2007-03-01,SEKCHF,0.1728000044822693,0.1650000065565109,0.046189368672003794,2007-03-01,Sweden,2007-03-01,3.25,1.979335,-0.012383037121841786
2007-03-01,USDCHF,1.2238999605178833,1.312800049781799,-0.07011984956717736,2007-03-01,United States,2007-03-01,5.26,1.979335,-0.031663285206332555
2007-05-01,AUDCHF,1.0033999681472778,0.9387999773025512,0.0665470405055805,2007-05-01,Australia,2007-05-01,6.25,2.165807,-0.03919775548739878
2007-05-01,CADCHF,1.0920000076293943,1.1124000549316406,-0.01850900844952779,2007-05-01,Canada,2007-05-01,4.2352,2.165807,-0.020052831856737806
2007-05-01,EURCHF,1.6513999700546265,1.5604000091552734,0.05668119035024068,2007-05-01,Germany,2007-05-01,3.7905,2.165807,-0.015777392068256506
2007-05-01,GBPCHF,2.426399946212769,2.263999938964844,0.06927552184278538,2007-05-01,United Kingdom,,,,
2007-05-01,JPYCHF,0.0101250000298023,0.0109080001711845,-0.07448886474078395,2007-05-01,Japan,2007-05-01,0.521,2.165807,0.016230391422218566
2007-05-01,NOKCHF,0.2030099928379058,0.2002300024032592,0.013788485825677666,2007-05-01,Norway,2007-05-01,4.37,2.165807,-0.021345225514832998
2007-05-01,NZDCHF,0.8985999822616577,0.7864999771118164,0.13324528349906553,2007-05-01,New Zealand,2007-05-01,7.89,2.165807,-0.054515137246121274
2007-05-01,SEKCHF,0.1800999939441681,0.1675000041723251,0.07252884238255523,2007-05-01,Sweden,2007-05-01,3.25,2.165807,-0.010556179524014685
2007-05-01,USDCHF,1.2144999504089355,1.2404999732971191,-0.02118207399622199,2007-05-01,United States,2007-05-01,5.25,2.165807,-0.029741420245363366
2007-06-01,AUDCHF,1.026900053024292,0.9114999771118164,0.11920831683129215,2007-06-01,Australia,2007-06-01,6.25,2.418879,-0.03672374695792506
2007-06-01,CADCHF,1.163100004196167,1.1059000492095947,0.0504293303740961,2007-06-01,Canada,2007-06-01,4.2536,2.418879,-0.017755331610181602
2007-06-01,EURCHF,1.6526000499725342,1.5631999969482422,0.05561483516955111,2007-06-01,Germany,2007-06-01,3.9557,2.418879,-0.014893786008923066
2007-06-01,GBPCHF,2.446700096130371,2.277100086212158,0.07183747572052968,2007-06-01,United Kingdom,,,,
2007-06-01,JPYCHF,0.0100969998165965,0.0108420001342892,-0.07118916136613769,2007-06-01,Japan,2007-06-01,0.51,2.418879,0.018813835809952575
2007-06-01,NOKCHF,0.2034800052642822,0.2004799991846084,0.014853258745253624,2007-06-01,Norway,2007-06-01,4.6,2.418879,-0.021072490784221413
2007-06-01,NZDCHF,0.913670003414154,0.7720000147819519,0.16848489049592535,2007-06-01,New Zealand,2007-06-01,8.1,2.418879,-0.053985663798561415
2007-06-01,SEKCHF,0.1765999943017959,0.168500006198883,0.04695146932265893,2007-06-01,Sweden,2007-06-01,3.5,2.418879,-0.010500551858822534
2007-06-01,USDCHF,1.23580002784729,1.2201999425888062,0.012703823493586444,2007-06-01,United States,2007-06-01,5.25,2.418879,-0.02726741171588964
2007-08-01,AUDCHF,1.0281000137329102,0.9379000067710876,0.09182439017192938,2007-08-01,Australia,2007-08-01,6.45,2.3134,-0.03963473966771638
2007-08-01,CADCHF,1.1390999555587769,1.0841000080108645,0.049488280834874894,2007-08-01,Canada,2007-08-01,4.4158,2.3134,-0.020340353322041496
2007-08-01,EURCHF,1.6461999416351318,1.5722999572753906,0.04593007778133228,2007-08-01,Germany,2007-08-01,4.0474,2.3134,-0.016805912869121364
2007-08-01,GBPCHF,2.4453999996185303,2.300600051879883,0.0610387275415972,2007-08-01,United Kingdom,,,,
2007-08-01,JPYCHF,0.0101060001179575,0.0106969997286796,-0.056833984418091954,2007-08-01,Japan,2007-08-01,0.485,2.3134,0.018032189043431502
2007-08-01,NOKCHF,0.2063899934291839,0.1994500011205673,0.034203967014689515,2007-08-01,Norway,2007-08-01,4.99,2.3134,-0.025824455855077866
2007-08-01,NZDCHF,0.9222000241279602,0.7603999972343445,0.19291753895891578,2007-08-01,New Zealand,2007-08-01,8.28,2.3134,-0.05667981307432831
2007-08-01,SEKCHF,0.1775999963283538,0.1702000051736831,0.04255956334744448,2007-08-01,Sweden,2007-08-01,3.5,2.3134,-0.01153096103365158
2007-08-01,USDCHF,1.2035000324249268,1.2265000343322754,-0.01893060752529763,2007-08-01,United States,2007-08-01,5.02,2.3134,-0.026110156537941145
2007-11-01,AUDCHF,1.0585999488830566,0.963599979877472,0.09402626127851949,2007-11-01,Australia,2007-11-01,6.7,2.115592,-0.04391573177009031
2007-11-01,CADCHF,1.2167999744415283,1.0994999408721924,0.10136896372260382,2007-11-01,Canada,2007-11-01,4.5105,2.115592,-0.023182118288524605
2007-11-01,EURCHF,1.6694999933242798,1.5887000560760498,0.049608069362282674,2007-11-01,Germany,2007-11-01,4.0221,2.115592,-0.018497950028828456
2007-11-01,GBPCHF,2.4045000076293945,2.375200033187866,0.012260326468470804,2007-11-01,United Kingdom,,,,
2007-11-01,JPYCHF,0.0100990002974867,0.0106149995699524,-0.04983161614055549,2007-11-01,Japan,2007-11-01,0.5,2.115592,0.015947699038486987
2007-11-01,NOKCHF,0.2126799970865249,0.1921299993991851,0.10161645182078738,2007-11-01,Norway,2007-11-01,5.39,2.115592,-0.03156232840822809
2007-11-01,NZDCHF,0.8781999945640564,0.8377000093460083,0.04721429962123504,2007-11-01,New Zealand,2007-11-01,8.33,2.115592,-0.05907669741985867
2007-11-01,SEKCHF,0.1793999969959259,0.1720999926328659,0.04154227246937212,2007-11-01,Sweden,2007-11-01,4.0,2.115592,-0.018285472603755373
2007-11-01,USDCHF,1.157099962234497,1.245300054550171,-0.0734596662877167,2007-11-01,United States,2007-11-01,4.49,2.115592,-0.02298594650840213
2008-01-01,AUDCHF,0.9918599724769592,0.9616000056266784,0.030983370911744353,2008-01-01,Australia,2008-01-01,6.75,2.241335,-0.04315360405302074
2008-01-01,CADCHF,1.1396000385284424,1.0444999933242798,0.08713906182718126,2008-01-01,Canada,2008-01-01,4.006,2.241335,-0.01711254172921469
2008-01-01,EURCHF,1.6546000242233276,1.6083999872207642,0.028319414318263104,2008-01-01,Germany,2008-01-01,4.0218,2.241335,-0.017264444504039897
2008-01-01,GBPCHF,2.248500108718872,2.3896000385284424,-0.06086262846279146,2008-01-01,United Kingdom,,,,
2008-01-01,JPYCHF,0.0101060001179575,0.010224999859929,-0.011706369688246704,2008-01-01,Japan,2008-01-01,0.502,2.241335,0.01715842025708246
2008-01-01,NOKCHF,0.2081599980592727,0.1952300071716308,0.06412861801197071,2008-01-01,Norway,2008-01-01,5.58,2.241335,-0.03213291133975715
